�NDICE
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.
"España [+]34º61-1,61%"
Alemania [+]10º800
"Reino Unido [+]11º781,30%"
"Francia [+]22º712,90%"
"Italia [+]42º565,66%"
"Portugal [+]32º621,64%"
Estados Unidos [+]27º670
"Japón [+]18º73-1,35%"
"China [+]66º457,14%"
"Emiratos Árabes Unidos [+]24º69-2,82%"
"Afganistán [+]174º16-15,79%"
"Albania [+]110º35-2,78%"
Armenia [+]58º490
"Angola [+]136º297,41%"
"Argentina [+]96º38-9,52%"
"Austria [+]13º74-2,63%"
"Australia [+]18º73-5,19%"
Azerbaiyán [+]128º300
Bosnia y Herzegovina [+]110º350
"Barbados [+]29º651,56%"
Bangladés [+]147º260
"Bélgica [+]18º73-3,95%"
"Burkina Faso [+]78º425,00%"
"Bulgaria [+]78º42-4,55%"
Baréin [+]78º420
Burundi [+]169º190
"Benín [+]78º422,44%"
"Bolivia [+]128º30-3,23%"
Brasil [+]96º380
"Bahamas [+]30º641,59%"
Bután [+]25º680
"Botsuana [+]45º55-8,33%"
"Bielorrusia [+]82º41-12,77%"
"Canadá [+]13º74-3,90%"
"República Democrática del Congo [+]169º195,56%"
"República Centroafricana [+]154º24-7,69%"
"República del Congo [+]162º2110,53%"
"Suiza [+]7º84-1,18%"
Costa de Marfil [+]105º360
Chile [+]27º670
"Camerún [+]144º278,00%"
Colombia [+]87º390
"Costa Rica [+]39º581,75%"
"Cuba [+]64º46-2,13%"
Cabo Verde [+]39º580
"Chipre [+]52º53-7,02%"
República Checa [+]49º540
"Yibuti [+]128º3011,11%"
Dinamarca [+]1º880
Dominica [+]45º550
"República Dominicana [+]128º307,14%"
"Argelia [+]117º33-8,33%"
"Ecuador [+]105º36-7,69%"
"Estonia [+]13º74-1,33%"
Egipto [+]117º330
"Eritrea [+]161º224,76%"
"Etiopía [+]87º392,63%"
"Finlandia [+]1º883,53%"
"Fiyi [+]45º5537,50%"
"Gabón [+]124º313,33%"
Granada [+]52º530
"Georgia [+]45º55-1,79%"
Ghana [+]73º430
Gambia [+]102º370
"Guinea [+]150º25-10,71%"
"Guinea Ecuatorial [+]172º176,25%"
"Grecia [+]58º49-2,00%"
Guatemala [+]150º250
"Guinea-Bisáu [+]162º2110,53%"
"Guyana [+]87º39-4,88%"
"Hong Kong [+]12º76-1,30%"
"Honduras [+]157º23-4,17%"
Croacia [+]63º470
"Haiti [+]164º2011,11%"
"Hungría [+]73º43-2,27%"
"Indonesia [+]96º382,70%"
"Irlanda [+]13º742,78%"
"Israel [+]36º59-1,67%"
India [+]85º400
"Irak [+]157º239,52%"
Irán [+]150º250
"Islandia [+]13º74-1,33%"
Jamaica [+]70º440
Jordania [+]58º490
"Kenia [+]128º30-3,23%"
"Kirguistán [+]144º27-12,90%"
"Camboya [+]157º239,52%"
"Comoras [+]164º20-4,76%"
"Corea del Norte [+]174º16-11,11%"
"Corea del Sur [+]32º621,64%"
"Kuwait [+]73º432,38%"
"Kazajistán [+]102º37-2,63%"
"Laos [+]128º303,45%"
"Líbano [+]154º24-4,00%"
Santa Lucía [+]42º560
"Sri Lanka [+]102º37-2,63%"
"Liberia [+]136º293,57%"
"Lesoto [+]96º38-7,32%"
"Lituania [+]34º611,67%"
"Luxemburgo [+]9º811,25%"
"Letonia [+]36º593,51%"
Libia [+]172º170
"Marruecos [+]87º39-2,50%"
"Moldavia [+]105º365,88%"
"Montenegro [+]64º462,22%"
"Madagascar [+]147º264,00%"
"Macedonia del Norte [+]87º3911,43%"
"Malí [+]136º29-3,33%"
Birmania - Myanmar [+]140º280
Mongolia [+]110º350
"Mauritania [+]140º28-3,45%"
"Malta [+]49º541,89%"
"Mauricio [+]49º541,89%"
"Maldivas [+]85º40-6,98%"
"Malaui [+]110º3516,67%"
México [+]124º310
"Malasia [+]62º48-5,88%"
"Mozambique [+]147º264,00%"
"Namibia [+]58º49-3,92%"
"Níger [+]124º31-3,13%"
"Nigeria [+]154º24-4,00%"
"Nicaragua [+]164º20-9,09%"
Países Bajos [+]8º820
"Noruega [+]4º851,19%"
Nepal [+]117º330
Nueva Zelanda [+]1º880
"Omán [+]56º52-3,70%"
"Panamá [+]105º362,86%"
"Perú [+]105º36-5,26%"
"Papúa Nueva Guinea [+]124º3114,81%"
"Filipinas [+]117º33-2,94%"
"Pakistán [+]140º28-9,68%"
Polonia [+]42º560
"Paraguay [+]128º307,14%"
Catar [+]31º630
"Rumanía [+]66º452,27%"
Serbia [+]96º380
"Rusia [+]136º29-3,33%"
"Ruanda [+]52º53-1,85%"
Arabia Saudita [+]52º530
"Islas Salomón [+]73º432,38%"
"Seychelles [+]23º706,06%"
"Sudán [+]164º2025,00%"
Suecia [+]4º850
Singapur [+]4º850
"Eslovenia [+]41º57-5,00%"
"Eslovaquia [+]56º526,12%"
"Sierra Leona [+]115º343,03%"
"Senegal [+]73º43-4,44%"
"Somalia [+]178º138,33%"
"Surinam [+]87º392,63%"
"Sudán del Sur [+]180º11-8,33%"
"Santo Tomé y Príncipe [+]66º45-4,26%"
"El Salvador [+]115º34-5,56%"
"Siria [+]178º13-7,14%"
"Suazilandia [+]122º32-3,03%"
"Chad [+]164º20-4,76%"
"Togo [+]128º303,45%"
"Tailandia [+]110º35-2,78%"
Tayikistán [+]150º250
"Timor Oriental [+]82º412,50%"
Turkmenistán [+]169º190
Túnez [+]70º440
"Turquía [+]96º38-5,00%"
"Trinidad y Tobago [+]82º412,50%"
"Taiwan [+]25º684,62%"
"Tanzania [+]87º392,63%"
"Ucrania [+]122º32-3,03%"
Uganda [+]144º270
"Uruguay [+]18º732,82%"
"Uzbekistán [+]140º287,69%"
San Vicente y las Granadinas [+]36º590
"Venezuela [+]177º14-6,67%"
"Vietnam [+]87º398,33%"
"Vanuatu [+]66º454,65%"
"Yemen [+]174º166,67%"
Sudáfrica [+]70º440
Zambia [+]117º330
"Zimbabue [+]157º23-4,17%"
